Connection error occurred,"HTTPConnectionPool(host='191.37.183.209', port=60139): Max retries exceeded with url: http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f620ac0fda0>, 'Connection to 191.37.183.209 timed out. (connect timeout=10.48)'))"
Connection error occurred;HTTPConnectionPool(host='51.254.152.142', port=80): Max retries exceeded with url: http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fd2c4a38208>, 'Connection to 51.254.152.142 timed out. (connect timeout=15.2)'))
2019-07-10 19:03:22.487308;Connection error occurred;HTTPConnectionPool(host='191.37.183.209', port=60139): Max retries exceeded with url: http://www.i28.com/adidas-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-987/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0a48659080>, 'Connection to 191.37.183.209 timed out. (connect timeout=10.48)'))
2019-07-10 19:03:58.315060;Connection error occurred;HTTPConnectionPool(host='47.52.229.183', port=3128): Read timed out.
2019-07-10 19:04:13.545648;Connection error occurred;HTTPConnectionPool(host='45.224.44.15', port=8080): Max retries exceeded with url: http://www.i28.com/adidas-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-987/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0a48659588>, 'Connection to 45.224.44.15 timed out. (connect timeout=15.2)'))
2019-07-10 19:04:35.147081;Connection error occurred;HTTPConnectionPool(host='188.235.107.77', port=60205): Max retries exceeded with url: http://www.i28.com/adidas-boost-c-983/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0a482259b0>, 'Connection to 188.235.107.77 timed out. (connect timeout=12.6)'))
2019-07-10 19:04:45.532295;Connection error occurred;HTTPConnectionPool(host='200.127.155.221', port=8080): Max retries exceeded with url: http://www.i28.com/adidas-boost-c-983/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0a48231278>, 'Connection to 200.127.155.221 timed out. (connect timeout=10.36)'))
2019-07-10 19:04:53.842470;Connection error occurred;HTTPConnectionPool(host='34.90.87.201', port=80): Max retries exceeded with url: http://www.i28.com/adidas-nmd-c-1032/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0a480437b8>, 'Connection to 34.90.87.201 timed out. (connect timeout=5.44)'))
2019-07-10 19:05:05.067099;Connection error occurred;HTTPConnectionPool(host='201.49.83.34', port=80): Max retries exceeded with url: http://www.i28.com/adidas-nmd-c-1032/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0a47fcd0f0>, 'Connection to 201.49.83.34 timed out. (connect timeout=11.120000000000001)'))
2019-07-10 19:05:05.203702;Connection error occurred;HTTPConnectionPool(host='77.77.17.48', port=51368): Max retries exceeded with url: http://www.i28.com/adidas-nmd-c-1032/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0a4823bf60>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:05:14.859989;Connection error occurred;HTTPConnectionPool(host='185.122.252.122', port=8080): Max retries exceeded with url: http://www.i28.com/adidas-tubular-c-1074/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0a4813b7f0>, 'Connection to 185.122.252.122 timed out. (connect timeout=7.48)'))
2019-07-10 19:05:15.451819;HTTP error occurred;429 Client Error: Too Many Requests for url: http://www.i28.com/adidas-tubular-c-1074/
2019-07-10 19:05:21.618703;HTTP error occurred;
2019-07-10 19:05:40.501962;Connection error occurred;HTTPConnectionPool(host='116.58.94.162', port=9999): Max retries exceeded with url: http://www.i28.com/adidas-%E4%B8%89%E5%8F%B6%E8%8D%89-c-1034/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0a48506a20>, 'Connection to 116.58.94.162 timed out. (connect timeout=15.2)'))
2019-07-10 19:05:40.747455;HTTP error occurred;
